Num of 404/errors: 1,Crawled: 33,URL: https://www.bbc.com/marathi, Size: 630076 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:13, Elapsed time: 0h 0m 7.0s
Num of 404/errors: 1,Crawled: 34,URL: https://www.bbc.co.uk/contact, Size: 118998 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:14, Elapsed time: 0h 0m 7.1s
Num of 404/errors: 1,Crawled: 35,URL: https://www.bbc.com/pashto, Size: 477105 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:14, Elapsed time: 0h 0m 7.1s
Num of 404/errors: 1,Crawled: 36,URL: https://hellohola.personiowhistleblowing.com/, Size: 474 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:14, Elapsed time: 0h 0m 7.1s
Num of 404/errors: 1,Crawled: 37,URL: https://hellomagazine.jobs.personio.com/, Size: 60074 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:14, Elapsed time: 0h 0m 7.1s
Num of 404/errors: 1,Crawled: 38,URL: https://www.bbc.com/pages/subscription-terms, Size: 277784 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:14, Elapsed time: 0h 0m 7.1s
Num of 404/errors: 1,Crawled: 39,URL: https://www.bbc.com/persian, Size: 473564 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:14, Elapsed time: 0h 0m 7.2s
Num of 404/errors: 1,Crawled: 40,URL: https://shop.bbc.com/, Size: 930594 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:14, Elapsed time: 0h 0m 7.2s
Num of 404/errors: 1,Crawled: 41,URL: https://www.bbc.com/pidgin, Size: 369036 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:15, Elapsed time: 0h 0m 7.4s
Num of 404/errors: 1,Crawled: 42,URL: https://www.bbc.com/polska, Size: 330822 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:15, Elapsed time: 0h 0m 7.4s
Num of 404/errors: 1,Crawled: 43,URL: https://www.bbc.com/portuguese, Size: 548310 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:15, Elapsed time: 0h 0m 7.5s
Num of 404/errors: 1,Crawled: 44,URL: https://www.bbc.com/punjabi, Size: 570508 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:15, Elapsed time: 0h 0m 7.6s
Num of 404/errors: 1,Crawled: 45,URL: https://www.bbc.com/russian, Size: 536345 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:15, Elapsed time: 0h 0m 7.7s
Num of 404/errors: 1,Crawled: 46,URL: https://www.bbc.com/serbian/lat, Size: 462809 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:15, Elapsed time: 0h 0m 7.8s
Num of 404/errors: 1,Crawled: 47,URL: https://www.bbc.com/thai, Size: 516223 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:15, Elapsed time: 0h 0m 7.8s
Num of 404/errors: 1,Crawled: 48,URL: https://www.bbc.com/tamil, Size: 766526 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:15, Elapsed time: 0h 0m 7.8s
Num of 404/errors: 1,Crawled: 49,URL: https://www.bbc.com/somali, Size: 557560 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:15, Elapsed time: 0h 0m 7.8s
Num of 404/errors: 1,Crawled: 50,URL: https://www.bbc.com/sinhala, Size: 490484 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:15, Elapsed time: 0h 0m 8.0s
Num of 404/errors: 1,Crawled: 51,URL: https://www.bbc.com/swahili, Size: 429207 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:15, Elapsed time: 0h 0m 8.0s
Num of 404/errors: 1,Crawled: 52,URL: https://www.bbc.com/romania, Size: 254270 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:15, Elapsed time: 0h 0m 8.1s
Num of 404/errors: 1,Crawled: 53,URL: https://www.bbc.com/weather, Size: 328333 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:15, Elapsed time: 0h 0m 8.1s
Num of 404/errors: 1,Crawled: 54,URL: https://www.bbc.com/ws/languages, Size: 196794 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:15, Elapsed time: 0h 0m 8.2s
Num of 404/errors: 1,Crawled: 55,URL: https://www.bbc.com/ukrainian, Size: 499832 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:15, Elapsed time: 0h 0m 8.2s
Num of 404/errors: 1,Crawled: 56,URL: https://www.bbc.com/telugu, Size: 536988 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:15, Elapsed time: 0h 0m 8.2s
Num of 404/errors: 1,Crawled: 57,URL: https://www.bbc.com/urdu, Size: 540978 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:15, Elapsed time: 0h 0m 8.2s
Num of 404/errors: 1,Crawled: 58,URL: https://www.bbc.com/zhongwen/simp, Size: 460493 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:15, Elapsed time: 0h 0m 8.3s
Num of 404/errors: 1,Crawled: 59,URL: https://www.bbc.com/turkce, Size: 499315 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:15, Elapsed time: 0h 0m 8.3s
Num of 404/errors: 1,Crawled: 60,URL: https://www.bbc.com/usingthebbc/cookies/how-can-i-change-my-bbc-cookie-settings/, Size: 328517 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:15, Elapsed time: 0h 0m 8.3s
Num of 404/errors: 1,Crawled: 61,URL: https://www.bbc.com/uzbek, Size: 515636 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:15, Elapsed time: 0h 0m 8.4s
Num of 404/errors: 1,Crawled: 62,URL: https://www.bbc.com/tigrinya, Size: 710064 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:16, Elapsed time: 0h 0m 8.4s
Num of 404/errors: 1,Crawled: 63,URL: https://www.bbc.com/yoruba, Size: 583033 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:16, Elapsed time: 0h 0m 8.5s
Num of 404/errors: 1,Crawled: 64,URL: https://www.bbc.com/vietnamese, Size: 695933 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:16, Elapsed time: 0h 0m 8.6s
Num of 404/errors: 1,Crawled: 65,URL: https://www.hellomagazine.com/applicant-privacy-policy/, Size: 107298 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:16, Elapsed time: 0h 0m 8.6s
Num of 404/errors: 1,Crawled: 66,URL: https://www.hellomagazine.com/about/, Size: 126858 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:16, Elapsed time: 0h 0m 8.6s
Num of 404/errors: 1,Crawled: 67,URL: https://www.britbox.com/?utm_source=bbc.com&utm_medium=referral&utm_campaign=footer, Size: 294118 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:16, Elapsed time: 0h 0m 8.7s
Num of 404/errors: 1,Crawled: 68,URL: https://www.hellomagazine.com/binding-contract-terms/, Size: 141237 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:16, Elapsed time: 0h 0m 8.7s
Num of 404/errors: 1,Crawled: 69,URL: https://www.hellomagazine.com/brides/, Size: 196560 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:16, Elapsed time: 0h 0m 8.7s
Num of 404/errors: 1,Crawled: 70,URL: https://www.hellomagazine.com/, Size: 537701 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:16, Elapsed time: 0h 0m 8.7s
Num of 404/errors: 1,Crawled: 71,URL: https://www.hellomagazine.com/ca/, Size: 405531 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:16, Elapsed time: 0h 0m 9.0s
Num of 404/errors: 1,Crawled: 72,URL: https://www.hellomagazine.com/community-guidelines/, Size: 87854 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:16, Elapsed time: 0h 0m 9.1s
Num of 404/errors: 1,Crawled: 73,URL: https://www.hellomagazine.com/competition-terms-and-conditions/, Size: 126986 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:16, Elapsed time: 0h 0m 9.1s
Num of 404/errors: 1,Crawled: 74,URL: https://www.hellomagazine.com/cookies/, Size: 113184 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:16, Elapsed time: 0h 0m 9.1s
Num of 404/errors: 1,Crawled: 75,URL: https://www.hellomagazine.com/contact/, Size: 113826 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:16, Elapsed time: 0h 0m 9.1s
Num of 404/errors: 1,Crawled: 76,URL: https://www.hellomagazine.com/celebrities/925122/tom-cruise-first-wife-mimi-rogers-70-natural-beauty-rare-new-appearance/, Size: 406910 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:16, Elapsed time: 0h 0m 9.1s
Num of 404/errors: 1,Crawled: 77,URL: https://www.hellomagazine.com/faqs/, Size: 96858 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.2s
